,qw,qx,qy,qz
0,-0.5647900739352386,0.07521124308261502,-0.8047339066295527,-0.16660966604292213
0,-0.5643026243317223,0.0871945690220988,-0.8029128358565052,-0.17114506514137792
0,-0.5643122268676457,0.1078979616515932,-0.7982205686409837,-0.18097973443890056
0,-0.5664030285016562,0.11646731471137878,-0.794329781300969,-0.18618048352721486
0,-0.5699258534315744,0.13789049074298873,-0.7906079482132166,-0.1763797221197416
0,-0.5666962872016706,0.12245893171139677,-0.7964042209884273,-0.17204489212923843
0,-0.5721356326689636,0.13319674540616375,-0.7888751418496649,-0.1805421153508557
0,-0.5725938118765367,0.12154862479862166,-0.7843597493363369,-0.20528526988388626
0,-0.5726295228116257,0.12935838762037802,-0.7779985795665868,-0.22378571748250406
0,-0.5789430454431596,0.11661861709668123,-0.7887360084671415,-0.1706474647534463
0,-0.6170087111307677,0.0779243710264802,-0.7730927494372241,-0.12472226568047154
0,-0.6386337910714645,0.06317459734470056,-0.7542414461572963,-0.138836926106042
0,-0.6996746904663304,0.03060257117384265,-0.7004451629844567,-0.1374604809029596
0,-0.7278733401857468,0.01993900105113198,-0.6706244579446217,-0.14165335608593782
0,-0.756374295877145,0.018218107117257187,-0.6357537311268311,-0.1529157234156453
0,-0.7792408896926462,0.013429909196697811,-0.6056736405507246,-0.16050767742389593
0,-0.8156270759244556,-0.00011604838690593882,-0.5536999709894778,-0.1678356388790709
0,-0.8320202667254277,-0.011171745978764424,-0.5241196296506618,-0.18142789660023917
0,-0.8504492527605008,-0.027976937868906357,-0.4822976819323958,-0.20818814910849956
0,-0.8622598106921233,-0.03183740918320158,-0.4562617518942878,-0.21753071507270094
0,-0.8623986696897588,-0.027190338029419003,-0.45189586796228376,-0.2265377331788123
0,-0.8433356315325508,-0.019460512887785893,-0.4824469965696913,-0.23590505828960592
0,-0.7924701567764824,-0.009419938147778233,-0.5547272243605919,-0.25333776255651924
0,-0.7537294164654947,-7.929614895120854e-05,-0.6001994340182522,-0.2676800326338804
0,-0.698364303828733,7.168220641610968e-05,-0.6558784281829588,-0.286549788769285
0,-0.6713214930288638,-0.0026787628186909626,-0.6803897715747502,-0.2939218194753801
0,-0.6356667737932159,-0.010608135183234,-0.7081234682462982,-0.3072073792767559
0,-0.6148836217931903,-0.015211232319220547,-0.7226219951452756,-0.3154428667668375
0,-0.6097687131725547,-0.019770349863196833,-0.7233605081785917,-0.32332773606633775
0,-0.6350897552194633,-0.02574317848515055,-0.7021004961290693,-0.32101897905276366
0,-0.6764499452005568,-0.02176861014131249,-0.6635084171191673,-0.3189015203204532
0,-0.7405868061814987,-0.011784811650829055,-0.5945419872923122,-0.31290913388833824
0,-0.7886135333949095,-0.00414836928913458,-0.533579139820391,-0.30555652100252834
0,-0.8260055282790333,0.001973521019146038,-0.47916251080651934,-0.2968404633887613
0,-0.8467402257247331,0.004324369730849973,-0.4429872722700564,-0.2945752307523392
0,-0.8480753418118712,0.005316537396378751,-0.43226788376990344,-0.30640565546654025
0,-0.8390602833372098,0.004621810420670785,-0.4417548381893939,-0.3175045554488614
0,-0.8187605439836013,0.01371646516218708,-0.47054430452415064,-0.3286808294972729
0,-0.8015078979466801,0.022498621667528272,-0.49408299251900056,-0.33609656061260873
0,-0.80621984060162,0.021538216315384502,-0.4843292683755332,-0.33907349299682976
0,-0.819718199820788,0.015469148061075312,-0.4623097404715384,-0.33777578688528
0,-0.8300723348584146,0.014417135983039477,-0.44489218968713046,-0.3359211286122637
0,-0.8266716768813914,0.008572177307906824,-0.4401162690378024,-0.35048270448990027
0,-0.8290021391141353,-0.0052923055056963925,-0.43309547337353294,-0.35377359396933156
0,-0.7921197056431698,-0.014429832716244179,-0.4809541429161539,-0.3755279806770021
0,-0.6483908794887034,0.016418179132404634,-0.6472131809524275,-0.4005431427340661
0,-0.6365431152370027,0.027819850248869002,-0.6628355500320647,-0.3933038926710398
0,-0.6916187851490564,0.026922214305793415,-0.60173570701435,-0.3985634068874823
0,-0.7399157620411734,-0.00010831587874193173,-0.5361910748596381,-0.4062311959852
0,-0.8159610041457656,-0.023933520700285274,-0.4442284340590588,-0.3691827794924347
0,-0.8074398386819783,-0.03839264835548787,-0.4503949186625581,-0.3790927705778898
0,-0.8219597452989477,-0.05200259991835405,-0.41675684627666565,-0.3846968128167276
0,-0.803028306288776,-0.04667694078923447,-0.4419558517822447,-0.39704134239770156
0,-0.7817203391086694,-0.02430763203325916,-0.4658557066564085,-0.4138851423093378
0,-0.7658883114997413,-0.008360221107129048,-0.48346391215497675,-0.42380165957074784
0,-0.6710974022995665,0.060426551079414755,-0.6222030386840275,-0.39854772261773547
0,-0.6336772293002141,0.08975063113980604,-0.6717490673605737,-0.373029735780688
0,-0.5351838817950876,0.1631955831073956,-0.8012239442388265,-0.21209810347892566
0,-0.24256659320584145,0.25165836015940724,-0.9301973782345548,0.11208191267082435
0,-0.14684353900220046,0.08312673983944492,-0.9669387002909965,0.19119746352013478
0,-0.06396736489449041,-0.08706174592980248,-0.9578567477350262,0.2661557428322527
0,-0.052988631333052205,-0.1581847119094744,-0.977385859069989,0.12994877589876055
0,-0.04131009937893333,-0.32013370281722986,-0.9457162889529918,0.03779667735150523
0,-0.02945719120681391,-0.39571482234577154,-0.9175471738027633,0.025480131644506826
0,-0.021855118092615783,-0.44237745931336725,-0.8962923520611943,0.022012654115761813
0,-0.016261083406307768,-0.47833077265169777,-0.8778261201899782,0.018882579619666412
0,-0.012125709457023893,-0.5065160403222977,-0.8619929732562425,0.01620438592626911
0,-0.0067333741092755976,-0.545118131336494,-0.8382441025151609,0.012153565726394863
0,-0.0050432331637595765,-0.5580885825725421,-0.8296974550924464,0.010669246203217063
0,-0.003771296772153378,-0.5684565839742213,-0.8226494680463056,0.00952586899688503
0,-0.002733455812263734,-0.5766869282240399,-0.8169146540821642,0.00866965862428067
0,-0.0020200412685035607,-0.5830612150491085,-0.8123871658584,0.007914018403288902
0,-0.001427922310010886,-0.5879026625421221,-0.8088970324772882,0.007349235551914773
0,-0.0010000636144018628,-0.5920992819219328,-0.8058345092453197,0.0069414645179025295
0,-0.0006499467861721745,-0.5953803947289757,-0.8034161746566223,0.006649318887234812
0,-0.00040394485932188556,-0.5979869461961755,-0.8014800960761461,0.006411287023246331
0,-0.0001784808912767495,-0.5997998558028286,-0.800125767557776,0.006233555450732723
0,-3.789018951677566e-05,-0.6012625532524948,-0.799028384527714,0.006081228466024149
0,8.90330343844595e-05,-0.6026167825809731,-0.7980086603112,0.005931567516183131
0,0.0001940958358623346,-0.6036729951509407,-0.7972106973492665,0.005829346806897498
0,0.00026554480274065286,-0.6046524181484343,-0.7964687704358462,0.0057341462851871056
0,0.000305932247330621,-0.6052773433034025,-0.7959945861315603,0.005644726590463489
0,0.0003541017836292938,-0.606030198803474,-0.7954218558990012,0.005598563060054477
0,0.0003768949201640993,-0.6063477968718479,-0.7951795638935807,0.005627463450812351
0,0.0003831668813503879,-0.6063959022310356,-0.795142475867715,0.005683837744845733
0,0.0004025850480810414,-0.6066313884836595,-0.7949630987203222,0.0056451841998135174
0,0.00040321117950567584,-0.6067976871836241,-0.7948363229297503,0.0056235221048095705
0,0.00041046087479433514,-0.6068535896422262,-0.7947938206789916,0.005597755863338987
0,0.00044118515318229934,-0.6070689404130584,-0.79462929822525,0.005602262353212469
0,0.00044695292812190846,-0.6073883186972951,-0.7943852656314143,0.005592878584456808
0,0.0004535720806606874,-0.6076284182169099,-0.7942016825732515,0.005584536274390822
0,0.0004545212190208547,-0.6076374655484101,-0.794194684126413,0.005595317481006308
0,0.00042157517099198374,-0.6079042560902173,-0.7939902800139935,0.005627872162281369
0,0.00043356741999381175,-0.6079557932525669,-0.7939506858380895,0.005645699882374278
0,0.0017315068129321895,-0.6040910773161076,-0.7968260583447664,0.011798514057463927
0,-0.0428693532595597,-0.4625856974753612,-0.8837967100969681,0.05549834469708562
0,-0.53048111390001,-0.36931122473515476,-0.7540432620326138,0.11669518440466947
0,-0.7898814040902099,-0.16633192246679446,-0.5445062050681256,0.2278904378934915
0,-0.8707998669752687,-0.009314669728975676,-0.49147636953654117,-0.008473888769379292
0,-0.8927423223611038,0.033408979324932246,-0.43332431461153487,-0.11884874560639148
0,-0.8887337185910601,0.04155810211595766,-0.4351956190212497,-0.13794953705082644
0,-0.8860055487096365,0.048438546733034764,-0.43276247172336274,-0.15926241839810584
0,-0.8794699496021311,0.05352917282129961,-0.4310468654299007,-0.19459145717875076
0,-0.8744566844358361,0.05626373132792662,-0.4282969254051635,-0.22072979697138165
0,-0.8638855239462851,0.05683106451974561,-0.4295060897925148,-0.25689793781334497
0,-0.8551469175132698,0.05899728494176125,-0.43034376415084424,-0.28292634110937115
0,-0.8425802639161968,0.0592853274185939,-0.4257091360671159,-0.3245234664562366
0,-0.8344472793052927,0.0575834006988457,-0.4218029770177276,-0.34994876568282596
0,-0.8243139465038184,0.055993148451828914,-0.41943391001795194,-0.376093711796414
0,-0.8168007240798072,0.054922996455850887,-0.41906391379557756,-0.39269005304100346
0,-0.8034180857833069,0.054761367859753954,-0.4297354389947261,-0.40847034714704294
0,-0.795465567627359,0.0557069144786165,-0.43740446027593877,-0.4157025481390157
0,-0.7918193866708725,0.06583336238192457,-0.4378940963839122,-0.42063854749864615
0,-0.7948313419406169,0.07544447096344581,-0.43154139267703995,-0.4199086758764157
0,-0.804961133548376,0.09382230042495254,-0.4118597627808943,-0.4166611155622146
0,-0.8117914489954957,0.10136419495755548,-0.393205087960356,-0.41965426498546277
0,-0.8194906385597603,0.10839431840683253,-0.37189310402034703,-0.4223520856254245
0,-0.8303701187786917,0.11769636572084388,-0.33724904766902525,-0.4276635490451604
0,-0.8334938278388421,0.12380279775687296,-0.31683835153645845,-0.43540138403292317
0,-0.8281068528183727,0.13395779032768734,-0.3055315984301894,-0.4504939434514819
0,-0.8221122771840178,0.14111971802559883,-0.3032621119422991,-0.4607045911948138
0,-0.8144166077997396,0.1481393093656193,-0.3058654517588365,-0.4703473816032203
0,-0.8059807457747589,0.1528704376637732,-0.31270853874493426,-0.4787891357631855
0,-0.7901787084535571,0.15741233937793822,-0.3289888979051643,-0.49254976314417076
0,-0.7812561403007767,0.1595775375698519,-0.33787093566226295,-0.5000170832883439
0,-0.7737179757300209,0.16206909499450306,-0.34296196315896005,-0.5074161943671622
0,-0.7687169076723748,0.16609327702423754,-0.34540199036851604,-0.5120398463356531
0,-0.7644855112211049,0.1690733479983146,-0.34886764501988554,-0.5150412336773884
0,-0.7627121896803969,0.1690183930542842,-0.34975370855503196,-0.5170833993412315
0,-0.7632436423874184,0.16502086606706445,-0.35010798908150376,-0.5173506084841963
