,qw,qx,qy,qz
0,-0.13025310697071094,0.16437558432237792,0.2315605853951559,0.9499444671635316
0,-0.12837918264049625,0.1633045309796397,0.23146056898638886,0.9504085545861711
0,-0.12880757119772626,0.1632969405318139,0.23038296767413793,0.9506137002067396
0,-0.11259530682405126,0.15315022309297155,0.22521440697718573,0.9555866140427488
0,0.07409247807961818,-0.1418564863823026,0.14106819285002217,0.9769784065829286
0,0.051586839418245704,-0.13836742258586895,0.13705355145419387,0.979494552511433
0,0.03590724566201171,-0.13414604792653617,0.13836349242754517,0.980597293234033
0,0.024141069119374612,-0.12922654839059838,0.14172248744976249,0.981138341175126
0,0.00999521028770589,-0.12747535792217457,0.1430642687209533,0.9814187403495295
0,0.003367679452377563,-0.1263398043480517,0.14357852745687538,0.9815355923376988
0,-0.003112480516321622,-0.12248004918339962,0.14825804134704867,0.9813299665214572
0,-0.00787367101001707,-0.12042623022191665,0.14968915667754787,0.9813402492268054
0,-0.013826563743826382,-0.11612711910370128,0.15506121872457015,0.9809583766864748
0,-0.015337529664948066,-0.11409653428543717,0.15522375836221858,0.9811484729069992
0,-0.016677705471585296,-0.11498959554276884,0.15211753311932596,0.981508789148016
0,-0.018666128265471406,-0.11499566098792358,0.1525092257190538,0.9814114884594037
0,-0.01994531022086153,-0.11408873467399774,0.15557140587663398,0.9810114591044529
0,-0.022820994292528943,-0.11476225803745545,0.15852593544421203,0.9803970390312194
0,-0.02449517500870655,-0.11363732556638259,0.16045753305745972,0.9801734156385425
0,-0.024171818106145763,-0.11035489663640327,0.1640097361894324,0.9799685333891518
0,-0.023489076841958396,-0.10958572375126034,0.1643472873249343,0.9800148986459137
0,-0.022075007566078955,-0.10920573791388741,0.1652440844968564,0.9799393825061
0,-0.022762551339834944,-0.11101316071574543,0.1609806190174076,0.9804301018967001
0,-0.022220972258235067,-0.12402694532009595,0.14935207724301747,0.9807229487728227
0,-0.017232835526963003,-0.16355945100379685,0.13121317969604698,0.9776167126441171
0,-0.021410703828083945,-0.20599486362232186,0.10395989729789373,0.9727795421762419
0,-0.03381441576000299,-0.28840594084347104,0.055285185959988464,0.955312591137776
0,-0.031144837352124543,-0.3400212918748241,0.024230174275180535,0.9395894948501072
0,-0.02114574665725903,-0.38408773010996466,-0.00885673423339127,0.9230119345035585
0,-0.01594437823095632,-0.3893623660687745,-0.02604378020776267,0.9205783216025911
0,-0.01264708933731751,-0.3810625520321824,-0.04762151106815035,0.9232353839913201
0,-0.017076837789815575,-0.35582094756775423,-0.060528805108905015,0.9324355734500771
0,-0.006811042818136829,-0.33612883901755547,-0.09658030369932677,0.9368261622167614
0,0.003532109519535597,-0.3359406739043329,-0.1096264901229436,0.9354749705269344
0,0.029552152014183573,-0.31551772998339855,-0.1073112044257241,0.942369109097998
0,0.061655246677683684,-0.3368849383437807,-0.08197141928075145,0.9359422286099288
0,0.09168395545107626,-0.36947749395716145,-0.10866514224398519,0.9182986010187947
0,0.11386827935651153,-0.403108326991111,-0.08913156677629772,0.9036554960109618
0,0.09500447799751711,-0.4993320074687462,-0.06789451890873027,0.858505695834223
0,0.0877465413324758,-0.5614748544676104,-0.04577843895316466,0.821553934207472
0,0.08999860381483614,-0.5800527509401915,-0.03513557756688732,0.808829122019687
0,0.08707057373482298,-0.5875491556348641,-0.023450855820279042,0.8041484702861428
0,0.08258923568847501,-0.6075996980906304,-0.019357008739125468,0.789700532633252
0,0.07752147381145648,-0.6333948567124489,-0.016796316848914573,0.7697527267432231
0,0.07902303268751294,-0.6529972190830678,-0.006895589435399455,0.7531948240800562
0,0.08643410824731612,-0.7019697454631528,0.01472099723250154,0.7067891578302319
0,0.0904345864915885,-0.7219670567854133,0.023839159289858608,0.6855777483021572
