qw,qx,qy,qz
0.6385469204400656,0.2778779716790678,0.6642493502808654,-0.2716881740221389
0.6405931121542935,0.27632229096966276,0.6627074692405598,-0.2722228248816152
0.6454468571615055,0.27514695679474993,0.6568828220148225,-0.27603888292913814
0.6451167540943952,0.27526300159256706,0.6571764830334056,-0.2759958762170304
0.6462510187667686,0.274459954307481,0.6538251537302481,-0.28203549878351647
0.6491047699042961,0.27311624969509884,0.6493248200958684,-0.28713723173326605
0.6588452872908285,0.27766596733015275,0.6352060969086069,-0.2921261926829055
0.671045332995356,0.27992245720190917,0.6178635328385397,-0.2993095952479243
0.6822795426335649,0.2766107947614252,0.6018545542365443,-0.30943850676655743
0.690641104148298,0.2753471902669831,0.5875720391837737,-0.31930845407273434
0.6967733384624814,0.27624957024858154,0.5752245968561153,-0.327581673658711
0.7028357265217975,0.27592718200283073,0.5613734404477743,-0.3387417779317797
0.7067612305590495,0.2752556668489711,0.5492363413448803,-0.35080239764328336
0.7097034807363246,0.27556437430597724,0.5354135202417402,-0.3656741820069451
0.7098884351678014,0.27837808588535334,0.5226147743680641,-0.3813631452120595
0.7096412602566246,0.2810803468746964,0.5122401831766079,-0.39371704951828695
0.7081821684937395,0.2858420084963672,0.4996306940857774,-0.4088294655888097
0.7048064181925333,0.2914904523034747,0.48787742649555943,-0.42456665649412173
0.698602699078653,0.2983714158700857,0.4804573730427235,-0.4382801384053204
0.6890023885658251,0.307444864835921,0.477261544954418,-0.45052722597456
0.6783366579915022,0.31696885637497363,0.4784154199094759,-0.4588123892247256
0.6294053299089329,0.36496226643360546,0.5080914233095047,-0.4609713443601403
0.6182968798474395,0.37596690979581515,0.5196714665858626,-0.45420195720186535
0.6076852341751279,0.38333682107797334,0.5331080957184992,-0.44672955582852286
0.5957026716441957,0.3896821400802682,0.5495507381210804,-0.43735585388674725
0.5842438979553061,0.3924075505298118,0.5685204237643999,-0.42598111431368685
0.5736516060235919,0.3924803656684684,0.5872520323510602,-0.41475058525678854
0.565753758379704,0.3904883023698826,0.6048459671545175,-0.4019986649336572
0.5611818858652048,0.38717154335025583,0.6193558913374683,-0.38932167530478395
0.5600139768284889,0.38190277418500024,0.629843186512101,-0.37925212884151893
0.5623851955802381,0.37507534786962604,0.6366178466047244,-0.37115912032040926
0.5680923639142491,0.36589072364832814,0.6406529966545293,-0.36463513583854623
0.5743572216365695,0.3573491470875414,0.6429265785730367,-0.3592503077160772
0.5813665502084189,0.3490553364904892,0.6440815822082475,-0.35402291144273945
