,qw,qx,qy,qz
0,-0.6502035070106429,0.4302897682654443,-0.324741047884575,-0.535377779344604
0,-0.6426515157739348,0.44187298143982295,-0.3089801559861373,-0.5443147625719226
0,-0.6383327650399294,0.4485690813803659,-0.2887810975720805,-0.5549076842062268
0,-0.6368871179357602,0.44629996955051976,-0.26450893778413465,-0.5702860317586212
0,-0.6376084222648598,0.4324374810919969,-0.23223160686042763,-0.5937354676779457
0,-0.6356984454112917,0.41822978848949843,-0.2064271748315765,-0.6151090570075767
0,-0.6333919354091586,0.4024412156058223,-0.18785748298019436,-0.6336917943517135
0,-0.6358415277710896,0.39371869940116094,-0.18144099192063753,-0.6385689498828142
0,-0.6475518500335966,0.36269048335782705,-0.13644674709024196,-0.6561360377301522
0,-0.6574090041599627,0.3501363204353221,-0.0994510227447691,-0.6597934922659052
0,-0.6558069474892527,0.3313811749740009,-0.08652888094434501,-0.6727678033766172
0,-0.6511910052994762,0.31830396459911114,-0.07559942281041979,-0.6847755749209203
0,-0.650909304425908,0.3114548885803487,-0.059907435646318646,-0.6897275033993248
0,-0.6544569851274675,0.30743941297768895,-0.04777462784749305,-0.6891187465885931
0,-0.6625374975415828,0.2855235667475891,-0.04033684425860654,-0.6912982686064889
0,-0.6752413301023359,0.26183938424161124,-0.02646081117732511,-0.6890494238103971
0,-0.6904748315915004,0.24112415101805285,-0.012648763389736415,-0.6818677727530632
0,-0.7094133312553641,0.22406410943299332,0.001871252699754831,-0.6682248863328127
0,-0.7263538906229875,0.22580769060703137,0.016970594638546322,-0.6489475412983569
0,-0.7304013119045494,0.2528790939039231,0.02489438085207417,-0.6339923952512647
0,-0.7276584067793195,0.27921303196660463,0.030128707529964445,-0.625815936842433
0,-0.7146311536982815,0.3236039480080547,0.03197443012275721,-0.6193225612036014
0,-0.695584514057849,0.370558431056871,0.028237576154656312,-0.6148587417191743
0,-0.6660358083428956,0.4352998128793637,0.007174916340233336,-0.6056887777462345
0,-0.6343077997033694,0.489177181602494,-0.012102530598875767,-0.5985088378528878
0,-0.5661195914734833,0.5794453508905757,-0.034038430654621456,-0.5853145126509034
0,-0.5438060414583328,0.6030695684779039,-0.040826422528244054,-0.5821643136373428
0,-0.5155060852099606,0.6258065536570008,-0.04647201713976528,-0.5834894901661982
0,-0.49820237607497386,0.6406873780891098,-0.049509936277864854,-0.5821192680545063
0,-0.48715834396984703,0.647193582357808,-0.05415581380864786,-0.583853031752124
0,-0.47519645829021595,0.654673664166112,-0.054354930978046355,-0.5853513995491287
0,-0.4621298422846532,0.6650086575355035,-0.05962486993478242,-0.5836474699320211
0,-0.4470269245786485,0.675577879176296,-0.06663017434959669,-0.5825134142108281
0,-0.43719149611412106,0.6778963555635058,-0.07856958704688581,-0.5857874587514617
0,-0.44539375066515374,0.6585218573818346,-0.10072111717972736,-0.5981877855430295
0,-0.46544069605886634,0.6155144625554564,-0.13186379205688714,-0.6221887536605624
0,-0.4742787365817199,0.5808822400319311,-0.1464958770258422,-0.6451158510348068
0,-0.4878423146730416,0.5294567242520127,-0.16893789428413736,-0.6731607839391857
0,-0.4917994042127782,0.5037811314998872,-0.1775656140371151,-0.6876106240251616
0,-0.4825445223299241,0.5086260861517033,-0.17287891802851416,-0.6917826018025285
0,-0.461689335526328,0.5448817247946177,-0.15698004826585754,-0.6821320457891926
0,-0.43413603958803443,0.5896696358645082,-0.14431674544000267,-0.6655736598272505
0,-0.40512830932917093,0.6315753875019706,-0.1367303357114565,-0.6467521922483571
0,-0.3756568320987587,0.6692439306789105,-0.13281276098640152,-0.6271804176360543
0,-0.3480682783151307,0.7001252705840818,-0.1296357909314139,-0.6098095119214637
0,-0.3269019191655293,0.7208951727803516,-0.1255581352238695,-0.5980639094503072
0,-0.30196759775832344,0.7429464421190146,-0.12303435449555979,-0.5845585528076944
0,-0.28041492654274125,0.7583665379035923,-0.12219099708320318,-0.575601444918236
0,-0.2615437704328925,0.7697375475058408,-0.12063319750435833,-0.5696899119409736
0,-0.24418470150288107,0.7787416380708082,-0.11770644169851519,-0.5657565609601157
0,-0.22842157852250575,0.7851392428997152,-0.11218977166799711,-0.5646179299820647
0,-0.21460521609210148,0.7907588433452325,-0.09873030350792547,-0.5647099964287912
0,-0.205578667321476,0.793831410444015,-0.08104137259333426,-0.5665698538247337
