qw,qx,qy,qz
-0.7290655729442297,0.016566251480179126,-0.6839453397102003,0.020192125893430505
-0.7290282534121779,0.01666214383991611,-0.6839797813672108,0.020293776639891882
-0.7291961770023847,0.016745877457239804,-0.6837907895776965,0.020558869667478906
-0.7294454138533806,0.017123172524295602,-0.6835102774448353,0.020733687521951868
-0.7304468184713497,0.01707086896046433,-0.6824381615640224,0.020837141337885865
-0.7314814381925785,0.01720514125023834,-0.6813128144618006,0.021254118293092334
-0.7326269236029911,0.017914914525109883,-0.6800446302899151,0.021820803455142444
-0.7331565981775554,0.01800638969565881,-0.6794515374254774,0.022422773445718365
-0.7329544151298362,0.017470777759881095,-0.679665157319641,0.022975447586773917
-0.7329209828635003,0.01707016585371682,-0.6796931202435934,0.02350967055608456
-0.7339373808026199,0.016807734558004217,-0.6785647657533855,0.02456175477588983
-0.7353940205312502,0.01599657195091234,-0.676991364437451,0.024948681925525323
-0.7371699011130753,0.014508144211547397,-0.6750828121966004,0.025164405838512274
-0.7395189965035847,0.013494780130082757,-0.6725260537456194,0.025263644885810798
-0.7431422526051905,0.012247160046497925,-0.6685342725850338,0.025525004267939244
-0.7497252621497151,0.011055890024089049,-0.6611313113185471,0.026366413949086162
-0.754764927072998,0.010139207942356163,-0.6553468380034578,0.027342699970251703
-0.7565286892403604,0.009123994873502943,-0.6533037429552999,0.027844470086644087
-0.7549705149203368,0.009293234738639642,-0.6551285187700602,0.027198920624926765
-0.755406219190715,0.009546818919442505,-0.6546255392245678,0.027123894474295092
-0.7588694917178515,0.009519237188071015,-0.6505788470856295,0.027814427694637666
-0.7651760049075339,0.007660080835873642,-0.6430920798032683,0.029657740467545962
-0.7735103771370824,0.00416411053258307,-0.633019288847124,0.030837259803728305
-0.785110144937502,-0.0005936523780028254,-0.6184401801622786,0.03366677076758725
-0.8050950004060637,-0.004978715365558351,-0.5920928790706462,0.03497535229704133
-0.8175145733299524,-0.005890620267414922,-0.5748025081266379,0.035175270252511624
-0.8244217255246233,-0.0039957919401631785,-0.5648777742200822,0.03501360195608942
-0.8300804162994275,-0.0012916515373759198,-0.5565650450319385,0.0346436828450958
-0.8346413584442584,0.0009206821047773078,-0.5497103204626393,0.034518381996368884
-0.8391536873442856,0.0027222118130867494,-0.5427871891544219,0.03457955854512323
-0.84273312357614,0.004502720505541785,-0.5372280425797709,0.034156085864148124
-0.8460789448733798,0.00678213806870776,-0.5319571351934478,0.03355634011547172
-0.8475997237868615,0.007156255222269207,-0.5295456173963528,0.033240567744029594
-0.8499893469974112,0.007063026673771955,-0.5257304120710983,0.03279874187637877
-0.8529661785913457,0.006470318144672138,-0.5209424335175982,0.03202833313093705
-0.8544907936280117,0.006519939616442102,-0.5184734644878264,0.0314362945392641
-0.8556005432021732,0.006977028166078089,-0.5166710165637752,0.03082356554766409
-0.856698627035508,0.007330501514827357,-0.5148644868646158,0.030467791988469
-0.8577772482501348,0.008089690980880245,-0.513049874800916,0.030538095078525774
-0.8578575908658451,0.008454758433066478,-0.5128854627500747,0.030941443943820812
-0.8569532610981331,0.009443899007010958,-0.5143562808674234,0.03129756215830232
-0.8529810948109874,0.01090274134805351,-0.5209019260449587,0.031073550952525127
-0.8448996196498261,0.011434322439618089,-0.5339691006652951,0.029847755704946473
-0.8332420879211382,0.01104412230880652,-0.5520311600841064,0.02910753468512912
-0.8212839995812508,0.01083790294410638,-0.569717118313478,0.02824069744508478
-0.7980495553254051,0.010725683626714187,-0.6018711082542056,0.027441501498955963
-0.7795660019979918,0.010660437418158147,-0.6256472170015948,0.026995619294250525
-0.764700839538419,0.009854480484327383,-0.6437477700287552,0.026913264510760287
-0.7465717473014952,0.009912141301500104,-0.664680094627943,0.02706930718360018
-0.7252463581930494,0.011095788520756605,-0.6878358073568188,0.027865848679253173
-0.7002867522296731,0.01676039892887432,-0.7131613389647262,0.02680407217943885
-0.6791776364792828,0.021446585785993053,-0.7330974394749502,0.02873893351902761
-0.648449403641437,0.031911307502144395,-0.7599987968450066,0.029947757256774128
-0.627041563844843,0.03804452064312179,-0.7775067047667167,0.0292372314498243
-0.6083149257088417,0.04271119302537186,-0.7920383965208839,0.028352840895105313
-0.5858042013097245,0.04665114233848639,-0.8086539034080183,0.027128825064227383
-0.5643588845197824,0.049468752913892945,-0.8236679491531362,0.024959997728319226
-0.5468320049508252,0.05278024757142491,-0.8352912370758948,0.021852988170529653
-0.5359690718360468,0.05509428515615669,-0.8421918083023219,0.020364965180516684
-0.5263466885386969,0.05755887926816483,-0.8481070356469689,0.018989338267876348
-0.5222217337783136,0.05798184297812052,-0.8506674316596834,0.01695545245491358
-0.5199121581036152,0.057688424931505194,-0.8521178545978253,0.01607965673026297
-0.5188110715799575,0.05773662973592129,-0.8528139676340828,0.01448758782569188
-0.5191614776973376,0.058942231707708,-0.8525542627219297,0.012182056932172315
-0.524512188195413,0.05879043719912503,-0.8492863312102196,0.011973994650100675
-0.5297400360799375,0.058371081526903075,-0.8460512493311406,0.012868353454214934
-0.5334954025679705,0.05752812751698324,-0.8437213604343042,0.014402636221047094
-0.531668733164272,0.05715214178246526,-0.8448949906341224,0.014643963484701388
-0.5294099355941151,0.05635175027172274,-0.8463634017584335,0.014784874008284692
-0.52780836180653,0.05535704763595555,-0.8474273563838863,0.014859546976797162
-0.5266650795777624,0.054838096463066706,-0.848166411151439,0.015179463895176765
-0.5250093784775374,0.054971522768373936,-0.8491727163796605,0.015779161940513903
-0.5230124337143385,0.054773039744933326,-0.8503971505971557,0.01681054887691437
-0.5210852585332154,0.05417469889765629,-0.8516006764711987,0.017650585614004566
-0.5228830727421809,0.05391816991501272,-0.8504972550461859,0.018453789627440518
-0.5252540954397885,0.05326457897844058,-0.8490538873741537,0.019455492407473633
-0.527068605716566,0.052602118087696964,-0.8479264663969316,0.02126992299695739
-0.5241990298630721,0.05303575540589502,-0.8496823101587532,0.021037051657124748
-0.5209506012808918,0.053379637624107065,-0.8516531827203216,0.021164632634254395
-0.520328759265969,0.05323055748526551,-0.8520110032897379,0.022399560347464008
-0.5176109555911946,0.0522291058695328,-0.8537374576879296,0.021985733842430404
-0.5148154845456033,0.051163500003314204,-0.8555088558524478,0.021258191304114462
